,cost,name,damage,text,id
0,"['C', 'C']",Slash,50,,68af6bbbd14a00763202573c
1,"['L', 'L', 'C']",Voltage Burst,130+,This attack does 50 more damage for each Prize card your opponent has taken. This Pokémon also does 30 damage to itself.,68af6bbbd14a00763202573c
2,"['R', 'R']",V-Force,120,"If you have 4 or fewer Benched Pokémon, this attack does nothing.",68af6bbbd14a00763202573f
3,"['M', 'M', 'C']",Protect Charge,150,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",68af6bbbd14a007632025745
4,"['F', 'F']",Piercing Drill,60,This attack also does 60 damage to 1 of your opponent's Benched Pokémon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokémon.),68af6bbbd14a007632025748
5,['P'],Echoed Voice,30,"During your next turn, this Pokémon's Echoed Voice attack does 80 more damage (before applying Weakness and Resistance).",68af6bbbd14a00763202574b
6,"['C', 'C']",Slash,50,,68af6bbbd14a00763202574e
7,"['L', 'L', 'C']",Voltage Burst,130+,This attack does 50 more damage for each Prize card your opponent has taken. This Pokémon also does 30 damage to itself.,68af6bbbd14a00763202574e
8,"['C', 'C']",Slash,50,,68af6bbbd14a007632025751
9,"['W', 'W', 'C']",Blizzard Burst,130,This attack also does 10 damage to each of your opponent's Benched Pokémon for each Prize card your opponent has taken. (Don't apply Weakness and Resistance for Benched Pokémon.),68af6bbbd14a007632025751
10,"['G', 'C', 'C', 'C']",Command the Grass,150,"You may search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.",68af6bbbd14a007632025754
11,"['M', 'M', 'C']",Protect Charge,150,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",68af6bbcd14a00763202575d
12,"['F', 'F']",Piercing Drill,60,This attack also does 60 damage to 1 of your opponent's Benched Pokémon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokémon.),68af6bbcd14a007632025760
13,"['F', 'F', 'F']",Rock Tumble,200,This attack's damage isn't affected by Resistance.,68af6bbcd14a007632025760
14,['P'],Echoed Voice,30,"During your next turn, this Pokémon's Echoed Voice attack does 80 more damage (before applying Weakness and Resistance).",68af6bbcd14a007632025763
15,"['C', 'C']",Slash,50,,68af6bbcd14a007632025766
16,"['L', 'L', 'C']",Voltage Burst,130+,This attack does 50 more damage for each Prize card your opponent has taken. This Pokémon also does 30 damage to itself.,68af6bbcd14a007632025766
17,"['C', 'C']",Slash,50,,68af6bbcd14a007632025769
18,"['W', 'W', 'C']",Blizzard Burst,130,This attack also does 10 damage to each of your opponent's Benched Pokémon for each Prize card your opponent has taken. (Don't apply Weakness and Resistance for Benched Pokémon.),68af6bbcd14a007632025769
19,"['G', 'C', 'C', 'C']",Command the Grass,150,"You may search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.",68af6bbcd14a00763202576c
