,id,tcgPlayerId,setId,setName,name,cardNumber,totalSetNumber,rarity,cardType,hp,stage,retreatCost,artist,tcgPlayerUrl,imageUrl_smaller,imageUrl,needsDetailedScrape,dataCompleteness,lastScrapedAt,createdAt,updatedAt,weakness.type,weakness.value,resistance.type,resistance.value,prices.market,prices.listings,prices.primaryCondition,prices.conditions.Near Mint.price,prices.conditions.Near Mint.listings,prices.conditions.Near Mint.priceString,prices.conditions.Lightly Played.price,prices.conditions.Lightly Played.listings,prices.conditions.Lightly Played.priceString,prices.conditions.Moderately Played.price,prices.conditions.Moderately Played.listings,prices.conditions.Moderately Played.priceString,prices.variants.Holofoil.Near Mint.price,prices.variants.Holofoil.Near Mint.listings,prices.variants.Holofoil.Near Mint.priceString,prices.variants.Holofoil.Lightly Played.price,prices.variants.Holofoil.Lightly Played.listings,prices.variants.Holofoil.Lightly Played.priceString,prices.variants.Holofoil.Moderately Played.price,prices.variants.Holofoil.Moderately Played.listings,prices.variants.Holofoil.Moderately Played.priceString,prices.lastUpdated,prices.priceWasCorrected,prices.conditions.Damaged.price,prices.conditions.Damaged.listings,prices.conditions.Damaged.priceString,prices.variants.Holofoil.Damaged.price,prices.variants.Holofoil.Damaged.listings,prices.variants.Holofoil.Damaged.priceString,prices.conditions.Heavily Played.price,prices.conditions.Heavily Played.listings,prices.conditions.Heavily Played.priceString,prices.variants.Holofoil.Heavily Played.price,prices.variants.Holofoil.Heavily Played.listings,prices.variants.Holofoil.Heavily Played.priceString,prices.variants.Normal.Near Mint.price,prices.variants.Normal.Near Mint.listings,prices.variants.Normal.Near Mint.priceString,prices.variants.Normal.Lightly Played.price,prices.variants.Normal.Lightly Played.listings,prices.variants.Normal.Lightly Played.priceString,prices.variants.Normal.Damaged.price,prices.variants.Normal.Damaged.listings,prices.variants.Normal.Damaged.priceString,prices.variants.Normal.Moderately Played.price,prices.variants.Normal.Moderately Played.listings,prices.variants.Normal.Moderately Played.priceString,prices.variants.Reverse Holofoil.Near Mint.price,prices.variants.Reverse Holofoil.Near Mint.listings,prices.variants.Reverse Holofoil.Near Mint.priceString,prices.variants.Reverse Holofoil.Lightly Played.price,prices.variants.Reverse Holofoil.Lightly Played.listings,prices.variants.Reverse Holofoil.Lightly Played.priceString,prices.variants.Reverse Holofoil.Damaged.price,prices.variants.Reverse Holofoil.Damaged.listings,prices.variants.Reverse Holofoil.Damaged.priceString,prices.variants.Reverse Holofoil.Moderately Played.price,prices.variants.Reverse Holofoil.Moderately Played.listings,prices.variants.Reverse Holofoil.Moderately Played.priceString,prices.variants.Normal.Heavily Played.price,prices.variants.Normal.Heavily Played.listings,prices.variants.Normal.Heavily Played.priceString,prices.variants.Reverse Holofoil.Heavily Played.price,prices.variants.Reverse Holofoil.Heavily Played.listings,prices.variants.Reverse Holofoil.Heavily Played.priceString
0,68af6bbbd14a00763202573c,642623,68af37165bce97006df9f23c,SV: Black Bolt,Zekrom ex - 172/086,172/086,086,Black White Rare,Lightning,230,Basic,2,,https://www.tcgplayer.com/product/642623/pokemon-sv-black-bolt-zekrom-ex---172-086,https://tcgplayer-cdn.tcgplayer.com/product/642623_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642623_in_600x600.jpg,FALSE,100,2025-11-27T16:06:26.335Z,2025-08-27T20:34:03.635Z,2025-11-27T16:06:26.451Z,Fx,2,,,462.85,,Near Mint,462.85,24,$462.85,389.88,2,$389.88,385,1,$385.00,462.85,24,$462.85,389.88,2,$389.88,385,1,$385.00,2025-11-27T16:06:26.335Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68af6bbbd14a00763202573f,642546,68af37165bce97006df9f23c,SV: Black Bolt,Victini - 171/086,171/086,086,Black White Rare,Fire,80,Basic,1,,https://www.tcgplayer.com/product/642546/pokemon-sv-black-bolt-victini---171-086,https://tcgplayer-cdn.tcgplayer.com/product/642546_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642546_in_600x600.jpg,FALSE,100,2025-11-27T16:20:27.728Z,2025-08-27T20:34:03.680Z,2025-11-27T16:34:11.853Z,Wx,2,,,465.88,,Near Mint,465.88,114,$465.88,430.05,9,$430.05,,,,465.88,114,$465.88,430.05,9,$430.05,,,,2025-11-27T16:20:27.728Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,68af6bbbd14a007632025742,642622,68af37165bce97006df9f23c,SV: Black Bolt,N's Plan - 170/086,170/086,086,Special Illustration Rare,Trainer - Supporter,,,,,https://www.tcgplayer.com/product/642622/pokemon-sv-black-bolt-n-s-plan---170-086,https://tcgplayer-cdn.tcgplayer.com/product/642622_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642622_in_600x600.jpg,FALSE,100,2025-11-27T16:20:31.163Z,2025-08-27T20:34:03.721Z,2025-11-27T16:20:31.255Z,,,,,65.45,,Near Mint,65.45,333,$65.45,63.33,24,$63.33,49.99,3,$49.99,65.45,333,$65.45,63.33,24,$63.33,49.99,3,$49.99,2025-11-27T16:20:31.163Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,68af6bbbd14a007632025745,642621,68af37165bce97006df9f23c,SV: Black Bolt,Genesect ex - 169/086,169/086,086,Special Illustration Rare,Metal,220,Basic,2,,https://www.tcgplayer.com/product/642621/pokemon-sv-black-bolt-genesect-ex---169-086,https://tcgplayer-cdn.tcgplayer.com/product/642621_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642621_in_600x600.jpg,FALSE,100,2025-11-27T16:06:30.609Z,2025-08-27T20:34:03.763Z,2025-11-27T16:45:04.194Z,Rx,2,G,,52.7,,Near Mint,52.7,335,$52.70,61.71,23,$61.71,,,,52.7,335,$52.70,61.71,23,$61.71,,,,2025-11-27T16:06:30.609Z,FALSE,70,1,$70.00,70,1,$70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,68af6bbbd14a007632025748,642620,68af37165bce97006df9f23c,SV: Black Bolt,Excadrill ex - 168/086,168/086,086,Special Illustration Rare,Fighting,270,Stage 1,3,,https://www.tcgplayer.com/product/642620/pokemon-sv-black-bolt-excadrill-ex---168-086,https://tcgplayer-cdn.tcgplayer.com/product/642620_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642620_in_600x600.jpg,FALSE,100,2025-11-27T16:06:35.372Z,2025-08-27T20:34:03.808Z,2025-11-27T16:06:35.453Z,Gx,2,,,25.17,,Near Mint,25.17,316,$25.17,28.76,13,$28.76,30,2,$30.00,25.17,316,$25.17,28.76,13,$28.76,30,2,$30.00,2025-11-27T16:06:35.372Z,FALSE,22.28,2,$22.28,22.28,2,$22.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,68af6bbbd14a00763202574b,642619,68af37165bce97006df9f23c,SV: Black Bolt,Meloetta ex - 167/086,167/086,086,Special Illustration Rare,Psychic,200,Basic,1,,https://www.tcgplayer.com/product/642619/pokemon-sv-black-bolt-meloetta-ex---167-086,https://tcgplayer-cdn.tcgplayer.com/product/642619_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642619_in_600x600.jpg,FALSE,100,2025-11-27T16:10:09.666Z,2025-08-27T20:34:03.848Z,2025-11-27T16:10:09.751Z,Dx,2,F,,43.1,,Near Mint,43.1,285,$43.10,45.48,21,$45.48,,,,43.1,285,$43.10,45.48,21,$45.48,,,,2025-11-27T16:10:09.666Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,68af6bbbd14a00763202574e,642618,68af37165bce97006df9f23c,SV: Black Bolt,Zekrom ex - 166/086,166/086,086,Special Illustration Rare,Lightning,230,Basic,2,,https://www.tcgplayer.com/product/642618/pokemon-sv-black-bolt-zekrom-ex---166-086,https://tcgplayer-cdn.tcgplayer.com/product/642618_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642618_in_600x600.jpg,FALSE,100,2025-11-27T16:06:39.187Z,2025-08-27T20:34:03.895Z,2025-11-27T16:06:39.299Z,Fx,2,,,229.78,,Near Mint,229.78,23,$229.78,199.45,6,$199.45,,,,229.78,23,$229.78,199.45,6,$199.45,,,,2025-11-27T16:06:39.187Z,FALSE,200,1,$200.00,200,1,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,68af6bbbd14a007632025751,642617,68af37165bce97006df9f23c,SV: Black Bolt,Kyurem ex - 165/086,165/086,086,Special Illustration Rare,Water,230,Basic,2,,https://www.tcgplayer.com/product/642617/pokemon-sv-black-bolt-kyurem-ex---165-086,https://tcgplayer-cdn.tcgplayer.com/product/642617_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642617_in_600x600.jpg,FALSE,100,2025-11-27T16:12:50.961Z,2025-08-27T20:34:03.943Z,2025-11-27T16:43:05.290Z,Mx,2,,,71.15,,Near Mint,71.15,303,$71.15,65.99,34,$65.99,59.99,1,$59.99,71.15,303,$71.15,65.99,34,$65.99,59.99,1,$59.99,2025-11-27T16:12:50.961Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,68af6bbbd14a007632025754,642616,68af37165bce97006df9f23c,SV: Black Bolt,Serperior ex - 164/086,164/086,086,Special Illustration Rare,Grass,320,Stage 2,2,,https://www.tcgplayer.com/product/642616/pokemon-sv-black-bolt-serperior-ex---164-086,https://tcgplayer-cdn.tcgplayer.com/product/642616_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642616_in_600x600.jpg,FALSE,100,2025-11-27T16:20:35.340Z,2025-08-27T20:34:03.982Z,2025-11-27T16:20:35.432Z,Rx,2,,,41.96,,Near Mint,41.96,355,$41.96,43.12,19,$43.12,,,,41.96,355,$41.96,43.12,19,$43.12,,,,2025-11-27T16:20:35.340Z,FALSE,41.85,1,$41.85,41.85,1,$41.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,68af6bbcd14a007632025757,642614,68af37165bce97006df9f23c,SV: Black Bolt,N's Plan - 163/086,163/086,086,Ultra Rare,Trainer - Supporter,,,,,https://www.tcgplayer.com/product/642614/pokemon-sv-black-bolt-n-s-plan---163-086,https://tcgplayer-cdn.tcgplayer.com/product/642614_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642614_in_600x600.jpg,FALSE,100,2025-11-27T16:20:39.292Z,2025-08-27T20:34:04.038Z,2025-11-27T16:21:30.397Z,,,,,2.15,,Near Mint,2.15,2182,$2.15,3.26,107,$3.26,4.69,4,$4.69,2.15,2182,$2.15,3.26,107,$3.26,4.69,4,$4.69,2025-11-27T16:20:39.292Z,FALSE,4,2,$4.00,4,2,$4.00,3.25,1,$3.25,3.25,1,$3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
