store_name,lat,lon,address
Ongkeco's Hobby Shop,14.57009,120.99258,"2488 Taft Ave, Malate, Manila, 1004 Metro Manila"
Block 101 Hobbies Store,14.58583,121.03341,"G/F, H3H2+J7G The Royal Plaza Commercial Center, 14 Domingo M. Guevara, St, Mandaluyong City, 1550 Metro Manila"
CardPro Hobbies & Collectibles (BGC),14.55363,121.04964,"Unit 1707 17th Floor One Park Drive, 9th Avenue Corner 11th. BGC, Taguig, 1214 Metro Manila"
Green Gate Hobbies,14.62294,121.05524,"857 Aurora Blvd, cor St Mary, Cubao, Quezon City, 1102 Metro Manila"
JapStore PH Cards & Hobbies,14.60486,120.96969,"2nd floor, Luis Bldg, 363 Moriones St, Tondo, Manila, 1012 Metro Manila"
Big Boys Toy Store V-Mall Greenhills,14.60201,121.04415,"3rd Level Shoppesville, Greenhills Shopping Center,, Ortigas Ave, San Juan City, 1502 Metro Manila"
Toy Kingdom - SM Megamall,14.58507,121.05649,"Unit 006 A, Lower Ground Floor Building A SM Mega Mall, EDSA, Corner Doña Julia Vargas Ave, Ortigas Center, Mandaluyong City, 1550 Metro Manila"
Toy Kingdom - SM North EDSA,14.65572,121.03158,"The Block, SM City North EDSA, 3rd Floor, Corner North Ave, Quezon City, 1550 Metro Manila"
Toy Kingdom - SM Mall of Asia,14.53254,120.98224,"GF, SM Mall of Asia, Pacific Dr, Pasay City, 1300 Metro Manila"
Collecticat Games & Hobbies,14.60265,121.04477,"Basement 2, Greenhills Shopping Center, Promenade Mall, Annapolis St, Greenhills, San Juan City, 1503 Metro Manila"
Fortress Toys & Hobbies -  V-Mall,14.60201,121.04415,"Unit V-227, V-Mall Greenhills Shopping Complex, N. Western St, Ortigas Ave, San Juan City, 1503"
Lila's Hobby Center - Greenhills,14.60265,121.04477,Greenhills Shopping Center
Unbox Greenhills,14.60265,121.04477,"2nd Floor, Promenade Mall, Missouri, San Juan City, Metro Manila"
Hobby Stadium Inc.,14.61384,121.02857,"3rd Floor, Jofanni Building, 84 Doña Hemady St, Quezon City, 1112 Metro Manila"
Aqua Card Games,14.57439,121.06526,"3/F, RVV88 Commercial Center, Salitran Rd, Salitran, Dasmariñas, 4114 Cavite"
Forge Hobby Place,14.44854,120.98675,"070 unit, 5 Naga Rd, 2, Las Piñas, Metro Manila"
KACHI Cafe & Collectibles,14.60774,121.02213,"299 N. Domingo, San Juan City, 1500 Metro Manila"
PlayCafe (McKinley Hill),14.53318,121.04982,"Upper McKinley Hl, Taguig, Metro Manila"
ARKEN Circuit Makati,14.55467,121.01947,"2/F, Ayala Malls, Circuit, Makati City, 1207 Metro Manila"
Hobbyists United,14.40425,121.04494,"Unit 9, 3rd Floor, CVA 2 Building, 684 National Road, Brgy. Poblacion, Muntinlupa, 1776 Metro Manila"
Greenhills Card Stalls (General),14.60201,121.04415,"Shoppesville / V-Mall cluster, Greenhills"
Madcap Gaming Philippines,14.59062,121.00466,"Unit 7 2/F, Maclane Center, Bldg Manila S Rd, San Pedro, 4023 Laguna"
The Office | Roll Play Estancia,14.57262,121.0636,"3F, Estancia East Wing, Camino Verde Road, Corner Anda Rd, Pasig, 1600 Metro Manila"
Big Boys Promenade,14.60265,121.04477,"3rd Level Shoppesville, Greenhills Shopping Center,, Ortigas Ave, San Juan City, 1502 Metro Manila"
