Column1,id,quantity,buy_price,buy_date
0,68b2e9b2b594c9577ba43240,1,42.17,2025-10-06T00:00:00.000Z
1,68b2ea2db594c9577ba43818,1,58.9,2025-11-12T00:00:00.000Z
2,68af82c5c4f780b5153e6428,1,33.4,2025-10-19T00:00:00.000Z
3,68af8391c4f780b5153e6bce,2,77.25,2025-11-03T00:00:00.000Z
4,68af838dc4f780b5153e6ac3,2,64.1,2025-10-28T00:00:00.000Z
5,68af83ffc4f780b5153e7396,2,89.5,2025-11-21T00:00:00.000Z
6,68af81d2c4f780b5153e58e6,3,25.6,2025-10-14T00:00:00.000Z
7,68af81e0c4f780b5153e5cd3,3,36.75,2025-11-09T00:00:00.000Z
8,68b2ea18b594c9577ba43673,3,52.3,2025-10-31T00:00:00.000Z
9,68b2ea17b594c9577ba435e6,4,110.4,2025-11-18T00:00:00.000Z
10,68af81f5c4f780b5153e5fbc,4,95.55,2025-10-25T00:00:00.000Z
11,68af838cc4f780b5153e6a60,4,123.8,2025-11-27T00:00:00.000Z
12,68af8404c4f780b5153e7525,5,68.9,2025-10-08T00:00:00.000Z
13,68af81f5c4f780b5153e5fa4,5,72.15,2025-11-05T00:00:00.000Z
14,68af82c8c4f780b5153e64df,5,59.2,2025-10-22T00:00:00.000Z
15,68af81dbc4f780b5153e5b65,6,140,2025-11-16T00:00:00.000Z
16,68b2ea17b594c9577ba4360d,6,132.4,2025-10-11T00:00:00.000Z
17,68af81ddc4f780b5153e5be9,6,118.7,2025-11-23T00:00:00.000Z
18,68af83ecc4f780b5153e716a,7,150.25,2025-10-17T00:00:00.000Z
19,68af83ebc4f780b5153e710d,7,166.9,2025-11-29T00:00:00.000Z
