date,set_name,Near Mint
2024-09-09 00:00:00+00:00,Obsidian Flames,194.47
2024-09-10 00:00:00+00:00,Obsidian Flames,194.47
2024-09-11 00:00:00+00:00,Obsidian Flames,194.47
2024-09-12 00:00:00+00:00,Obsidian Flames,194.47
2024-09-13 00:00:00+00:00,Obsidian Flames,194.47
2024-09-14 00:00:00+00:00,Obsidian Flames,194.47
2024-09-15 00:00:00+00:00,Obsidian Flames,194.47
2024-09-16 00:00:00+00:00,Obsidian Flames,200.85
2024-09-17 00:00:00+00:00,Obsidian Flames,200.85
2024-09-18 00:00:00+00:00,Obsidian Flames,200.85
2024-09-19 00:00:00+00:00,Obsidian Flames,200.85
2024-09-20 00:00:00+00:00,Obsidian Flames,200.85
2024-09-21 00:00:00+00:00,Obsidian Flames,200.85
2024-09-22 00:00:00+00:00,Obsidian Flames,200.85
2024-09-23 00:00:00+00:00,Obsidian Flames,217.07
2024-09-24 00:00:00+00:00,Obsidian Flames,217.07
2024-09-25 00:00:00+00:00,Obsidian Flames,217.07
2024-09-26 00:00:00+00:00,Obsidian Flames,217.07
2024-09-27 00:00:00+00:00,Obsidian Flames,217.07
2024-09-28 00:00:00+00:00,Obsidian Flames,217.07
2024-09-29 00:00:00+00:00,Obsidian Flames,217.07
2024-09-30 00:00:00+00:00,Obsidian Flames,217.8
2024-10-01 00:00:00+00:00,Obsidian Flames,217.8
2024-10-02 00:00:00+00:00,Obsidian Flames,217.8
2024-10-03 00:00:00+00:00,Obsidian Flames,217.8
2024-10-04 00:00:00+00:00,Obsidian Flames,217.8
2024-10-05 00:00:00+00:00,Obsidian Flames,217.8
2024-10-06 00:00:00+00:00,Obsidian Flames,217.8
2024-10-07 00:00:00+00:00,Obsidian Flames,211.54
2024-10-08 00:00:00+00:00,Obsidian Flames,211.54
2024-10-09 00:00:00+00:00,Obsidian Flames,211.54
2024-10-10 00:00:00+00:00,Obsidian Flames,211.54
2024-10-11 00:00:00+00:00,Obsidian Flames,211.54
2024-10-12 00:00:00+00:00,Obsidian Flames,211.54
2024-10-13 00:00:00+00:00,Obsidian Flames,211.54
2024-10-14 00:00:00+00:00,Obsidian Flames,221.77
2024-10-15 00:00:00+00:00,Obsidian Flames,221.77
2024-10-16 00:00:00+00:00,Obsidian Flames,221.77
2024-10-17 00:00:00+00:00,Obsidian Flames,221.77
2024-10-18 00:00:00+00:00,Obsidian Flames,221.77
2024-10-19 00:00:00+00:00,Obsidian Flames,221.77
2024-10-20 00:00:00+00:00,Obsidian Flames,221.77
2024-10-21 00:00:00+00:00,Obsidian Flames,223.25
2024-10-22 00:00:00+00:00,Obsidian Flames,223.25
2024-10-23 00:00:00+00:00,Obsidian Flames,223.25
2024-10-24 00:00:00+00:00,Obsidian Flames,223.25
2024-10-25 00:00:00+00:00,Obsidian Flames,223.25
2024-10-26 00:00:00+00:00,Obsidian Flames,223.25
2024-10-27 00:00:00+00:00,Obsidian Flames,223.25
2024-10-28 00:00:00+00:00,Obsidian Flames,228.07
2024-10-29 00:00:00+00:00,Obsidian Flames,228.07
2024-10-30 00:00:00+00:00,Obsidian Flames,228.07
2024-10-31 00:00:00+00:00,Obsidian Flames,228.07
2024-11-01 00:00:00+00:00,Obsidian Flames,228.07
2024-11-02 00:00:00+00:00,Obsidian Flames,228.07
2024-11-03 00:00:00+00:00,Obsidian Flames,228.07
2024-11-04 00:00:00+00:00,Obsidian Flames,227.98000000000002
2024-11-05 00:00:00+00:00,Obsidian Flames,227.98000000000002
2024-11-06 00:00:00+00:00,Obsidian Flames,227.98000000000002
2024-11-07 00:00:00+00:00,Obsidian Flames,227.98000000000002
2024-11-08 00:00:00+00:00,Obsidian Flames,227.98000000000002
2024-11-09 00:00:00+00:00,Obsidian Flames,227.98000000000002
2024-11-10 00:00:00+00:00,Obsidian Flames,227.98000000000002
2024-11-11 00:00:00+00:00,Obsidian Flames,230.76999999999998
2024-11-12 00:00:00+00:00,Obsidian Flames,230.76999999999998
2024-11-13 00:00:00+00:00,Obsidian Flames,230.76999999999998
2024-11-14 00:00:00+00:00,Obsidian Flames,230.76999999999998
2024-11-15 00:00:00+00:00,Obsidian Flames,230.76999999999998
2024-11-16 00:00:00+00:00,Obsidian Flames,230.76999999999998
2024-11-17 00:00:00+00:00,Obsidian Flames,230.76999999999998
2024-11-18 00:00:00+00:00,Obsidian Flames,219.79
2024-11-19 00:00:00+00:00,Obsidian Flames,219.79
2024-11-20 00:00:00+00:00,Obsidian Flames,219.79
2024-11-21 00:00:00+00:00,Obsidian Flames,219.79
2024-11-22 00:00:00+00:00,Obsidian Flames,219.79
2024-11-23 00:00:00+00:00,Obsidian Flames,219.79
2024-11-24 00:00:00+00:00,Obsidian Flames,219.79
2024-11-25 00:00:00+00:00,Obsidian Flames,247.56
2024-11-26 00:00:00+00:00,Obsidian Flames,247.56
2024-11-27 00:00:00+00:00,Obsidian Flames,247.56
2024-11-28 00:00:00+00:00,Obsidian Flames,247.56
2024-11-29 00:00:00+00:00,Obsidian Flames,247.56
2024-11-30 00:00:00+00:00,Obsidian Flames,247.56
2024-12-01 00:00:00+00:00,Obsidian Flames,247.56
2024-12-02 00:00:00+00:00,Obsidian Flames,248.01000000000002
2024-12-03 00:00:00+00:00,Obsidian Flames,248.01000000000002
2024-12-04 00:00:00+00:00,Obsidian Flames,248.01000000000002
2024-12-05 00:00:00+00:00,Obsidian Flames,248.01000000000002
2024-12-06 00:00:00+00:00,Obsidian Flames,248.01000000000002
2024-12-07 00:00:00+00:00,Obsidian Flames,248.01000000000002
2024-12-08 00:00:00+00:00,Obsidian Flames,248.01000000000002
2024-12-09 00:00:00+00:00,Obsidian Flames,256.06
2024-12-10 00:00:00+00:00,Obsidian Flames,256.06
2024-12-11 00:00:00+00:00,Obsidian Flames,256.06
2024-12-12 00:00:00+00:00,Obsidian Flames,256.06
