date,set_name,Near Mint
2024-11-10 00:00:00+00:00,Surging Sparks,83.62
2024-11-11 00:00:00+00:00,Surging Sparks,1348.0
2024-11-12 00:00:00+00:00,Surging Sparks,1348.0
2024-11-13 00:00:00+00:00,Surging Sparks,1348.0
2024-11-14 00:00:00+00:00,Surging Sparks,1348.0
2024-11-15 00:00:00+00:00,Surging Sparks,1348.0
2024-11-16 00:00:00+00:00,Surging Sparks,1348.0
2024-11-17 00:00:00+00:00,Surging Sparks,1359.24
2024-11-18 00:00:00+00:00,Surging Sparks,1285.16
2024-11-19 00:00:00+00:00,Surging Sparks,1285.16
2024-11-20 00:00:00+00:00,Surging Sparks,1285.16
2024-11-21 00:00:00+00:00,Surging Sparks,1285.16
2024-11-22 00:00:00+00:00,Surging Sparks,1285.16
2024-11-23 00:00:00+00:00,Surging Sparks,1285.16
2024-11-24 00:00:00+00:00,Surging Sparks,1336.89
2024-11-25 00:00:00+00:00,Surging Sparks,1509.73
2024-11-26 00:00:00+00:00,Surging Sparks,1509.73
2024-11-27 00:00:00+00:00,Surging Sparks,1509.73
2024-11-28 00:00:00+00:00,Surging Sparks,1509.73
2024-11-29 00:00:00+00:00,Surging Sparks,1509.73
2024-11-30 00:00:00+00:00,Surging Sparks,1509.73
2024-12-01 00:00:00+00:00,Surging Sparks,1519.41
2024-12-02 00:00:00+00:00,Surging Sparks,1658.48
2024-12-03 00:00:00+00:00,Surging Sparks,1658.48
2024-12-04 00:00:00+00:00,Surging Sparks,1658.48
2024-12-05 00:00:00+00:00,Surging Sparks,1658.48
2024-12-06 00:00:00+00:00,Surging Sparks,1658.48
2024-12-07 00:00:00+00:00,Surging Sparks,1658.48
2024-12-08 00:00:00+00:00,Surging Sparks,1647.52
2024-12-09 00:00:00+00:00,Surging Sparks,1551.3999999999999
2024-12-10 00:00:00+00:00,Surging Sparks,1551.3999999999999
2024-12-11 00:00:00+00:00,Surging Sparks,1551.3999999999999
2024-12-12 00:00:00+00:00,Surging Sparks,1551.3999999999999
2024-12-13 00:00:00+00:00,Surging Sparks,1551.3999999999999
2024-12-14 00:00:00+00:00,Surging Sparks,1551.3999999999999
2024-12-15 00:00:00+00:00,Surging Sparks,1541.17
2024-12-16 00:00:00+00:00,Surging Sparks,1467.76
2024-12-17 00:00:00+00:00,Surging Sparks,1467.76
2024-12-18 00:00:00+00:00,Surging Sparks,1467.76
2024-12-19 00:00:00+00:00,Surging Sparks,1467.76
2024-12-20 00:00:00+00:00,Surging Sparks,1467.76
2024-12-21 00:00:00+00:00,Surging Sparks,1467.76
2024-12-22 00:00:00+00:00,Surging Sparks,1465.05
2024-12-23 00:00:00+00:00,Surging Sparks,1465.01
2024-12-24 00:00:00+00:00,Surging Sparks,1465.01
2024-12-25 00:00:00+00:00,Surging Sparks,1465.01
2024-12-26 00:00:00+00:00,Surging Sparks,1465.01
2024-12-27 00:00:00+00:00,Surging Sparks,1465.01
2024-12-28 00:00:00+00:00,Surging Sparks,1465.01
2024-12-29 00:00:00+00:00,Surging Sparks,1465.85
2024-12-30 00:00:00+00:00,Surging Sparks,1497.89
2024-12-31 00:00:00+00:00,Surging Sparks,1497.89
2025-01-01 00:00:00+00:00,Surging Sparks,1497.89
2025-01-02 00:00:00+00:00,Surging Sparks,1497.89
2025-01-03 00:00:00+00:00,Surging Sparks,1497.89
2025-01-04 00:00:00+00:00,Surging Sparks,1497.89
2025-01-05 00:00:00+00:00,Surging Sparks,1504.27
2025-01-06 00:00:00+00:00,Surging Sparks,1488.43
